description,category
jio paybill,Utilities
zepto,Purchases
office rent,Rent
salary payment,Salary
atm annual charge,Bank Charges
electricity bill,Utilities
raw material purchase,Purchases
gst payment,Tax
internet bill,Utilities
jio recharge,Utilities
airtel bill,Utilities
electricity bill,Utilities
water bill,Utilities
gas cylinder,Utilities
internet bill,Utilities
jio mobile bill,Utilities
jio postpaid bill,Utilities
airtel recharge,Utilities
airtel mobile bill,Utilities
bsnl bill,Utilities
electricity bill payment,Utilities
power bill,Utilities
internet recharge,Utilities
wifi bill,Utilities
gas bill payment,Utilities
office rent payment,Rent
shop rent payment,Rent
monthly rent,Rent
warehouse rent payment,Rent
factory rent payment,Rent
office rent,Rent
shop rent,Rent
warehouse rent,Rent
factory rent,Rent
raw material purchase,Purchases
supplier payment,Purchases
vendor payment,Purchases
inventory purchase,Purchases
wholesale goods purchase,Purchases
material purchase,Purchases
goods purchase,Purchases
employee salary,Salary
zepto,Purchases
raw material purchase,Purchases
wholesale purchase,Purchases
supplier payment,Purchases
inventory purchase,Purchases
goods purchase,Purchases

salary payment,Salary
staff salary,Salary
employee salary,Salary
monthly salary,Salary
gst tax payment,Tax
gst challan payment,Tax
tds tax payment,Tax
income tax payment,Tax

gst payment,Tax
gst return,Tax
tds payment,Tax
income tax,Tax
atm charge,Bank Charges
bank service charge,Bank Charges
sms alert charge,Bank Charges
maintenance charge,Bank Charges
account charge,Bank Charges

atm ann chrg,Bank Charges
bank charges,Bank Charges
sms charges,Bank Charges
maintenance charges,Bank Charges
